Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
DBP,-1.48511384,1.925558826,37.7530622,6.85E-08,1.63E-06,8.596057892,940,5.788147454,Downregulated
PLEKHG5,-1.812196721,-0.809376968,27.83857753,1.76E-06,1.86E-05,8.573251866,941,4.730861592,Downregulated
RPL22,-1.286103327,7.910860346,46.76098507,4.49E-09,2.20E-07,8.562419075,943,6.657644759,Downregulated
MRPL4,-1.767826818,2.87478242,28.93719794,1.27E-06,1.44E-05,8.557361151,944,4.840610552,Downregulated
LRRC27,-1.190720561,1.770290532,52.76123783,8.49E-10,6.62E-08,8.548736464,946,7.179464893,Downregulated
SERHL2,-1.31993904,1.069264643,44.70116509,8.43E-09,3.38E-07,8.540726272,947,6.470545998,Downregulated
FBP1,-1.504089737,4.696014258,36.60824329,9.76E-08,2.12E-06,8.532467092,948,5.672844433,Downregulated
RPL19,-1.426175413,9.555682188,39.72161345,3.67E-08,1.05E-06,8.529205996,949,5.980474716,Downregulated
NAALADL1,-1.699304253,2.847998776,30.47280839,7.45E-07,9.61E-06,8.526239313,950,5.017488362,Downregulated
TRADD,-1.242562639,5.087925374,48.99939171,2.37E-09,1.45E-07,8.498845194,952,6.839772038,Downregulated
IRF3,-1.397164825,5.763705957,40.72783595,2.69E-08,8.28E-07,8.497442843,953,6.081918677,Downregulated
FHIT,-1.873121802,2.249126531,26.38513598,3.14E-06,2.95E-05,8.486242877,956,4.530534462,Downregulated
CST3,-1.659418977,8.184417824,31.17104154,5.86E-07,8.02E-06,8.455765296,959,5.095618052,Downregulated
TCTN1,-1.201279645,4.005303117,51.14685088,1.30E-09,9.15E-08,8.455513236,960,7.038755105,Downregulated
TPGS1,-1.974066309,-1.717620125,23.1377357,6.59E-06,5.21E-05,8.455204673,961,4.283141166,Downregulated
IL17RE,-1.511748823,-1.098332428,35.33123236,1.24E-07,2.56E-06,8.453731979,962,5.592021537,Downregulated
TEF,-1.423466662,1.838476307,39.23043745,4.31E-08,1.16E-06,8.446628499,964,5.933843568,Downregulated
MARCO,-1.940174211,4.372410662,24.93603465,5.31E-06,4.43E-05,8.44638223,965,4.353414338,Downregulated
PRPF40B,-1.36046405,1.237690786,42.02899857,1.86E-08,6.28E-07,8.437677719,966,6.202058567,Downregulated
